ID_Enluminure;descripteur;Type_desc;Shape;X;Y;Width;Height;ARK_Gallica;Image_Gallica;Enluminure_IIIF_X;Enluminure_IIIF_Y;Enluminure_IIIF_Width;Enluminure_IIIF_Height;Tag_absoluteX;Tag_absoluteY;Tag_absoluteWidth;Tag_absoluteHeight;ID Desc;Desc;175$e;600$a;ID Tag;ARK_Mandragore
39985;banc;objet;rect;780;993;1215;880;btv1b525064305;f14;580;108;2412;2130;1360;1101;1215;880;449;banc;0;0;209642;ark:/12148/cgfbt39985p
39985;chien;objet;rect;73;1500;539;398;btv1b525064305;f14;580;108;2412;2130;653;1608;539;398;84;chien;mammifère carnassier (voir aussi: lévrier);0;209650;ark:/12148/cgfbt39985p
39985;codex;objet;rect;997;1223;249;243;btv1b525064305;f14;580;108;2412;2130;1577;1331;249;243;599;codex;0;0;209639;ark:/12148/cgfbt39985p
39985;coiffe;objet;rect;1099;415;305;277;btv1b525064305;f14;580;108;2412;2130;1679;523;305;277;217;coiffe;0;0;209643;ark:/12148/cgfbt39985p
39985;collier.de.chien;objet;rect;387;1661;71;121;btv1b525064305;f14;580;108;2412;2130;967;1769;71;121;590;collier.de.chien;0;0;209651;ark:/12148/cgfbt39985p
39985;cor;objet;rect;576;1570;288;186;btv1b525064305;f14;580;108;2412;2130;1156;1678;288;186;139;cor;"instrument de musique; voir aussi: shofar";0;209648;ark:/12148/cgfbt39985p
39985;coussin;objet;rect;1655;1330;161;232;btv1b525064305;f14;580;108;2412;2130;2235;1438;161;232;444;coussin;0;0;209649;ark:/12148/cgfbt39985p
39985;laisse;objet;rect;257;1407;192;234;btv1b525064305;f14;580;108;2412;2130;837;1515;192;234;831;laisse;0;0;209644;ark:/12148/cgfbt39985p
39985;lance;objet;rect;446;638;175;892;btv1b525064305;f14;580;108;2412;2130;1026;746;175;892;385;lance;0;0;209647;ark:/12148/cgfbt39985p
39985;meute;objet;rect;73;1474;554;424;btv1b525064305;f14;580;108;2412;2130;653;1582;554;424;141;meute;0;0;209646;ark:/12148/cgfbt39985p
39985;plafond;objet;rect;62;40;1672;370;btv1b525064305;f14;580;108;2412;2130;642;148;1672;370;429;plafond;0;0;209641;ark:/12148/cgfbt39985p
39985;seigneur;objet;rect;1195;729;621;1152;btv1b525064305;f14;580;108;2412;2130;1775;837;621;1152;492;seigneur;"voir aussi: cour, khodja; et voir au nom des différentes charges";0;209640;ark:/12148/cgfbt39985p
